Tickersymbol,YahooTicker,YahooExchange,CompanyName
SOF B,SOF-B.ST,Stockholm Stock Exchange,Yahoo Finance
SFAB,SFAB.ST,Stockholm Stock Exchange,Yahoo Finance
STAR A,STAR-A.ST,Stockholm Stock Exchange,Yahoo Finance
STAR B,STAR-B.ST,Stockholm Stock Exchange,Yahoo Finance
STWK,STWK.ST,US Markets (default),Yahoo Finance
SVIK,SVIK.ST,Stockholm Stock Exchange,Yahoo Finance
SVED B,SVED-B.ST,Stockholm Stock Exchange,Yahoo Finance
SYNACT,SYNACT.ST,Stockholm Stock Exchange,Yahoo Finance
TOBII,TOBII.ST,Stockholm Stock Exchange,Yahoo Finance
TRAD,TRAD.ST,US Markets (default),Yahoo Finance
TRANS,TRANS.ST,Stockholm Stock Exchange,Yahoo Finance
VICO,VICO.ST,Stockholm Stock Exchange,Yahoo Finance
VIVE,VIVE.ST,US Markets (default),Yahoo Finance
WTW A,WTW-A.ST,Stockholm Stock Exchange,Yahoo Finance
WISE,WISE.ST,US Markets (default),Yahoo Finance
WBGR B,WBGR-B.ST,Stockholm Stock Exchange,Yahoo Finance
XBRANE,XBRANE.ST,Stockholm Stock Exchange,Yahoo Finance
XSPRAY,XSPRAY.ST,Stockholm Stock Exchange,Yahoo Finance
