OriginalTicker,CleanedTicker,YahooTicker,Exchange,Company,URL
KARNEL B,KARNEL-B,KARNEL-B.ST,Stockholm Stock Exchange,Yahoo Finance,https://finance.yahoo.com/quote/KARNEL-B.ST
KDEV,KDEV,KDEV.ST,Stockholm Stock Exchange,Yahoo Finance,https://finance.yahoo.com/quote/KDEV.ST
LAMM B,LAMM-B,LAMM-B.ST,Stockholm Stock Exchange,Yahoo Finance,https://finance.yahoo.com/quote/LAMM-B.ST
MAHA A,MAHA-A,MAHA-A.ST,Stockholm Stock Exchange,Yahoo Finance,https://finance.yahoo.com/quote/MAHA-A.ST
MEAB B,MEAB-B,MEAB-B.ST,Stockholm Stock Exchange,Yahoo Finance,https://finance.yahoo.com/quote/MEAB-B.ST
MANG,MANG,MANG.ST,Stockholm Stock Exchange,Yahoo Finance,https://finance.yahoo.com/quote/MANG.ST
MVIR,MVIR,MVIR.ST,Stockholm Stock Exchange,Yahoo Finance,https://finance.yahoo.com/quote/MVIR.ST
IMMU,IMMU,IMMU.ST,Stockholm Stock Exchange,Yahoo Finance,https://finance.yahoo.com/quote/IMMU.ST
MSAB B,MSAB-B,MSAB-B.ST,Stockholm Stock Exchange,Yahoo Finance,https://finance.yahoo.com/quote/MSAB-B.ST
MSON A,MSON-A,MSON-A.ST,Stockholm Stock Exchange,Yahoo Finance,https://finance.yahoo.com/quote/MSON-A.ST
MSON B,MSON-B,MSON-B.ST,Stockholm Stock Exchange,Yahoo Finance,https://finance.yahoo.com/quote/MSON-B.ST
MOB,MOB,MOB,US Markets (default),Yahoo Finance,https://finance.yahoo.com/quote/MOB
MOMENT,MOMENT,MOMENT.ST,Stockholm Stock Exchange,Yahoo Finance,https://finance.yahoo.com/quote/MOMENT.ST
SAFETY B,SAFETY-B,SAFETY-B.ST,Stockholm Stock Exchange,Yahoo Finance,https://finance.yahoo.com/quote/SAFETY-B.ST
NICA,NICA,NICA.ST,Stockholm Stock Exchange,Yahoo Finance,https://finance.yahoo.com/quote/NICA.ST
NAXS,NAXS,NAXS.ST,Stockholm Stock Exchange,Yahoo Finance,https://finance.yahoo.com/quote/NAXS.ST
NELLY,NELLY,NELLY.ST,Stockholm Stock Exchange,Yahoo Finance,https://finance.yahoo.com/quote/NELLY.ST
NETEL,NETEL,NETEL.ST,Stockholm Stock Exchange,Yahoo Finance,https://finance.yahoo.com/quote/NETEL.ST
NGS,NGS,NGS,US Markets (default),Yahoo Finance,https://finance.yahoo.com/quote/NGS
NIL B,NIL-B,NIL-B.ST,Stockholm Stock Exchange,Yahoo Finance,https://finance.yahoo.com/quote/NIL-B.ST
NORB B,NORB-B,NORB-B.ST,Stockholm Stock Exchange,Yahoo Finance,https://finance.yahoo.com/quote/NORB-B.ST
NTEK B,NTEK-B,NTEK-B.ST,Stockholm Stock Exchange,Yahoo Finance,https://finance.yahoo.com/quote/NTEK-B.ST
ONCO,ONCO,ONCO,US Markets (default),Yahoo Finance,https://finance.yahoo.com/quote/ONCO
ORX,ORX,ORX,US Markets (default),Yahoo Finance,https://finance.yahoo.com/quote/ORX
OVZON,OVZON,OVZON.ST,Stockholm Stock Exchange,Yahoo Finance,https://finance.yahoo.com/quote/OVZON.ST
PIERCE,PIERCE,PIERCE.ST,Stockholm Stock Exchange,Yahoo Finance,https://finance.yahoo.com/quote/PIERCE.ST
PION B,PION-B,PION-B.ST,Stockholm Stock Exchange,Yahoo Finance,https://finance.yahoo.com/quote/PION-B.ST
PREC,PREC,PREC,US Markets (default),Yahoo Finance,https://finance.yahoo.com/quote/PREC
PREV B,PREV-B,PREV-B.ST,Stockholm Stock Exchange,Yahoo Finance,https://finance.yahoo.com/quote/PREV-B.ST
PROF B,PROF-B,PROF-B.ST,Stockholm Stock Exchange,Yahoo Finance,https://finance.yahoo.com/quote/PROF-B.ST
PENG B,PENG-B,PENG-B.ST,Stockholm Stock Exchange,Yahoo Finance,https://finance.yahoo.com/quote/PENG-B.ST
QLINEA,QLINEA,QLINEA.ST,Stockholm Stock Exchange,Yahoo Finance,https://finance.yahoo.com/quote/QLINEA.ST
QLIRO,QLIRO,QLIRO.ST,Stockholm Stock Exchange,Yahoo Finance,https://finance.yahoo.com/quote/QLIRO.ST
RAIL,RAIL,RAIL,US Markets (default),Yahoo Finance,https://finance.yahoo.com/quote/RAIL
SANION,SANION,SANION.ST,Stockholm Stock Exchange,Yahoo Finance,https://finance.yahoo.com/quote/SANION.ST
SEAF,SEAF,SEAF.ST,Stockholm Stock Exchange,Yahoo Finance,https://finance.yahoo.com/quote/SEAF.ST
SGG,SGG,SGG,US Markets (default),Yahoo Finance,https://finance.yahoo.com/quote/SGG
SEZI,SEZI,SEZI.ST,Stockholm Stock Exchange,Yahoo Finance,https://finance.yahoo.com/quote/SEZI.ST
SINT,SINT,SINT,US Markets (default),Yahoo Finance,https://finance.yahoo.com/quote/SINT
SIVE,SIVE,SIVE.ST,Stockholm Stock Exchange,Yahoo Finance,https://finance.yahoo.com/quote/SIVE.ST
SLEEP,SLEEP,SLEEP.ST,Stockholm Stock Exchange,Yahoo Finance,https://finance.yahoo.com/quote/SLEEP.ST
SOF B,SOF-B,SOF-B.ST,Stockholm Stock Exchange,Yahoo Finance,https://finance.yahoo.com/quote/SOF-B.ST
SFAB,SFAB,SFAB.ST,Stockholm Stock Exchange,Yahoo Finance,https://finance.yahoo.com/quote/SFAB.ST
