Tickersymbol,YahooTicker,YahooExchange,CompanyName,size_category,Exchange
KINV A,KINV-A.ST,Stockholm Stock Exchange,Yahoo Finance,Large Cap,
KINV B,KINV-B.ST,Stockholm Stock Exchange,Yahoo Finance,Large Cap,
LAGR B,LAGR-B.ST,Stockholm Stock Exchange,Yahoo Finance,Large Cap,
LATO B,LATO-B.ST,Stockholm Stock Exchange,Yahoo Finance,Large Cap,
LIFCO B,LIFCO-B.ST,Stockholm Stock Exchange,Yahoo Finance,Large Cap,
LIAB,LIAB,US Markets (default),Yahoo Finance,Large Cap,
LOOMIS,LOOMIS.ST,Stockholm Stock Exchange,Yahoo Finance,Large Cap,
LUND B,LUND-B.ST,Stockholm Stock Exchange,Yahoo Finance,Large Cap,
LUG,LUG.ST,Stockholm Stock Exchange,Yahoo Finance,Large Cap,
LUMI,LUMI,US Markets (default),Yahoo Finance,Large Cap,
MCOV B,MCOV-B.ST,Stockholm Stock Exchange,Yahoo Finance,Large Cap,
MIPS,MIPS,US Markets (default),Yahoo Finance,Large Cap,
MTRS,MTRS,US Markets (default),Yahoo Finance,Large Cap,
MYCR,MYCR.ST,Stockholm Stock Exchange,Yahoo Finance,Large Cap,
NCAB,NCAB,US Markets (default),Yahoo Finance,Large Cap,
NCC A,NCC-A.ST,Stockholm Stock Exchange,Yahoo Finance,Large Cap,
NCC B,NCC-B.ST,Stockholm Stock Exchange,Yahoo Finance,Large Cap,
NEWA B,NEWA-B.ST,Stockholm Stock Exchange,Yahoo Finance,Large Cap,
NIBE B,NIBE-B.ST,Stockholm Stock Exchange,Yahoo Finance,Large Cap,
NOLA B,NOLA-B.ST,Stockholm Stock Exchange,Yahoo Finance,Large Cap,
NDA SE,NDA-SE.ST,Stockholm Stock Exchange,Yahoo Finance,Large Cap,
,BOL.ST,,Boliden AB,Unknown,STO
,AZN.ST,,AstraZeneca PLC,Unknown,STO
,ENRO.ST,,Eniro Group AB,Unknown,STO
,ALFA.ST,,Alfa Laval AB,Unknown,STO
,SAND.ST,,Sandvik AB,Unknown,STO
,TELIA.ST,,Telia Company AB,Unknown,STO
,CAST.ST,,Castellum AB,Unknown,STO
,JM.ST,,JM AB,Unknown,STO
,LIAB.ST,,Lindab International AB,Unknown,STO
,NOBI.ST,,Nobia AB,Unknown,STO
,ACTI.ST,,Active Biotech AB,Unknown,STO
,BILL.ST,,Billerud Aktiebolag,Unknown,STO
,BINV.ST,,BioInvent International AB,Unknown,STO
,BMAX.ST,,Byggmax Group AB,Unknown,STO
,BOUL.ST,,Boule Diagnostics AB,Unknown,STO
,KNOW.ST,,Knowit AB,Unknown,STO
,NOTE.ST,,NOTE AB,Unknown,STO
,ORX.ST,,Orexo AB,Unknown,STO
,PACT.ST,,Proact IT Group AB,Unknown,STO
,PREC.ST,,Precise Biometrics AB,Unknown,STO
,SENS.ST,,"SENS.ST,0P00018KCC,0",Unknown,STO
,SINT.ST,,SinterCast AB,Unknown,STO
,STWK.ST,,Stockwik Förvaltning AB,Unknown,STO
,SYSR.ST,,Systemair AB,Unknown,STO
,TIETOS.ST,,TietoEVRY Corporation,Unknown,STO
,TRAD.ST,,TradeDoubler AB,Unknown,STO
,VITR.ST,,Vitrolife AB,Unknown,STO
,WIHL.ST,,Wihlborgs Fastigheter AB,Unknown,STO
,ARP.ST,,Arctic Paper S.A.,Unknown,STO
,ABIG.ST,,"ABIG.ST,0P0000VYMC,1286608",Unknown,STO
,SFTR.ST,,Safeture AB,Unknown,STO
,ABSO.ST,,Absolent Air Care Group AB,Unknown,STO
,SPRINT.ST,,Sprint Bioscience AB,Unknown,STO
,NP3.ST,,NP3 Fastigheter AB,Unknown,STO
,ARCOMA.ST,,Arcoma AB,Unknown,STO
,ZENI.ST,,Zenicor Medical Systems AB,Unknown,STO
,THULE.ST,,Thule Group AB,Unknown,STO
,HEART.ST,,Scandinavian Real Heart AB,Unknown,STO
,ORGC.ST,,OrganoClick AB,Unknown,STO
,DUST.ST,,Dustin Group AB,Unknown,STO
,APTA.ST,,Aptahem AB,Unknown,STO
,LUC.ST,,Lucara Diamond Corp,Unknown,STO
,SCST.ST,,Scandi Standard AB,Unknown,STO
,TROAX.ST,,Troax Group AB,Unknown,STO
,SPIFF.ST,,Spiffbet AB,Unknown,STO
,NFGAB.ST,,Nordic Flanges Group AB,Unknown,STO
,CLBIO.ST,,Corline Biomedical AB,Unknown,STO
,COMBI.ST,,Combigene AB,Unknown,STO
,GCOR.ST,,Gaming Corps AB,Unknown,STO
,SCIB.ST,,Scibase Holding AB,Unknown,STO
,AVEN.ST,,Avensia AB,Unknown,STO
,IDOGEN.ST,,"IDOGEN.ST,0P000167OF,0",Unknown,STO
,REDS.ST,,Redsense Medical AB,Unknown,STO
,IVSO.ST,,INVISIO AB,Unknown,STO
,KONT.ST,,Kontigo Care AB,Unknown,STO
,QBNK.ST,,QBNK Holding AB,Unknown,STO
,SPEC.ST,,SpectraCure AB,Unknown,STO
,WISE.ST,,Wise Group AB,Unknown,STO
,BONAS.ST,,Bonäsudden Holding AB,Unknown,STO
,HYCO.ST,,Hybricon AB,Unknown,STO
,ARCT.ST,,Arctic Minerals AB,Unknown,STO
,BRE2.ST,,Bredband2 i Skandinavien AB,Unknown,STO
,SINCH.ST,,Sinch AB,Unknown,STO
,DDM.ST,,"DDM.ST,0P00013TU2,0",Unknown,STO
,DIAH.ST,,Diadrom Holding AB,Unknown,STO
,DIGN.ST,,Dignitana AB,Unknown,STO
,DOXA.ST,,Doxa AB,Unknown,STO
,DRIL.ST,,Drillcon AB,Unknown,STO
,KAKEL.ST,,Kakel Max AB,Unknown,STO
,ENZY.ST,,Enzymatica AB,Unknown,STO
,GENI.ST,,Generic Sweden AB,Unknown,STO
,HELIO.ST,,Heliospectra AB,Unknown,STO
,IMPC.ST,,Impact Coatings AB,Unknown,STO
,KAMBI.ST,,Kambi Group Plc,Unknown,STO
,KAPIAB.ST,,Kallebäck Property Invest AB,Unknown,STO
,KENH.ST,,Kentima Holding AB,Unknown,STO
,LIDDS.ST,,LIDDS AB,Unknown,STO
,LINKAB.ST,,Link Prop Investment AB,Unknown,STO
,MAV.ST,,Mavshack AB,Unknown,STO
,NEXAM.ST,,Nexam Chemical Holding AB,Unknown,STO
,NICO.ST,,Nicoccino Holding AB,Unknown,STO
,NJOB.ST,,NetJobs Group AB,Unknown,STO
,OBAB.ST,,Online Brands Nordic AB,Unknown,STO
,BINERO.ST,,Binero Group AB,Unknown,STO
,POLY.ST,,Polyplank AB,Unknown,STO
,SBOK.ST,,ScandBook Holding AB,Unknown,STO
,SDOS.ST,,ScandiDos AB,Unknown,STO
,SKMO.ST,,Skåne-möllan AB,Unknown,STO
,SOLT.ST,,SolTech Energy Sweden AB,Unknown,STO
,WPAY.ST,,Westpay AB,Unknown,STO
,BRAV.ST,,Bravida Holding AB,Unknown,STO
,KLAR.ST,,Klaria Pharma Holding AB,Unknown,STO
,ALZ.ST,,Alzinova AB,Unknown,STO
,MINEST.ST,,Minesto AB,Unknown,STO
,PCAT.ST,,Photocat A/S,Unknown,STO
,CAMX.ST,,Camurus AB,Unknown,STO
,NILS.ST,,Nilsson Special Vehicles AB,Unknown,STO
,PREBON.ST,,Prebona AB,Unknown,STO
,FOUT.ST,,"FOUT.ST,0P0001NH7J,172370",Unknown,STO
,HEGR.ST,,Hedera Group AB,Unknown,STO
,PMED.ST,,PEPTONIC Medical AB,Unknown,STO
,POLYG.ST,,Polygiene Group AB,Unknown,STO
,XINT.ST,,Xintela AB,Unknown,STO
,PLEJD.ST,,Plejd AB,Unknown,STO
,SYDSV.ST,,Sydsvenska Hem AB,Unknown,STO
,NEPA.ST,,Nepa AB,Unknown,STO
,CLEMO.ST,,Clean Motion AB,Unknown,STO
,ERMA.ST,,Enorama Pharma AB,Unknown,STO
,SECARE.ST,,Swedencare AB,Unknown,STO
,GOMX.ST,,GomSpace Group AB,Unknown,STO
,LAUR.ST,,"LAUR.ST,0P00018508,0",Unknown,STO
,AROC.ST,,AroCell AB (publ),Unknown,STO
,PROVIT.ST,,Provide IT Sweden AB,Unknown,STO
,BRANDB.ST,,"BRANDB.ST,0P0001RSAU,14557717",Unknown,STO
,FLOWS.ST,,Flowscape Technology AB,Unknown,STO
,EXPRS2.ST,,ExpreS2ion Biotech Holding AB,Unknown,STO
,LAIR.ST,,"LAIR.ST,0P0000ZB1P,9886",Unknown,STO
,F2M.ST,,"F2M.ST,0P0000ZB21,783520",Unknown,STO
,GUARD.ST,,Guard Therapeutics Internationa,Unknown,STO
,ALCA.ST,,Alcadon Group AB,Unknown,STO
,CYB1.ST,,Cyber Security 1 AB,Unknown,STO
,SERT.ST,,Serstech AB,Unknown,STO
,SOLNA.ST,,Solnaberg Property AB,Unknown,STO
,CFISH.ST,,Crunchfish AB,Unknown,STO
,BYGGP.ST,,ByggPartner Gruppen AB,Unknown,STO
,ACARIX.ST,,Acarix AB,Unknown,STO
,AINO.ST,,Aino Health AB,Unknown,STO
,EOS.ST,,"EOS.ST,0P0000EU9Y,0",Unknown,STO
,SEYE.ST,,Smart Eye AB,Unknown,STO
,AMNO.ST,,Amnode AB,Unknown,STO
,BOTX.ST,,Botnia Exploration Holding AB,Unknown,STO
,BRAIN.ST,,BrainCool AB,Unknown,STO
,EQL.ST,,EQL Pharma AB,Unknown,STO
,FXI.ST,,FX International AB,Unknown,STO
,GJAB.ST,,Gullberg & Jansson AB,Unknown,STO
,GREAT.ST,,Greater Than AB,Unknown,STO
,LOVI.ST,,Lovisagruvan AB,Unknown,STO
,QUIA.ST,,QUIA PHARMA AB,Unknown,STO
,MODI.ST,,Motion Display Scandinavia AB,Unknown,STO
,MPEN.ST,,Medimi AB,Unknown,YHD
,MPOS.ST,,Micropos Medical AB,Unknown,STO
,NANEXA.ST,,Nanexa AB,Unknown,STO
,NFO.ST,,NFO Drives AB,Unknown,STO
,NOVU.ST,,Novus Group International AB,Unknown,STO
,PHAL.ST,,PharmaLundensis AB,Unknown,STO
,SDET.ST,,SensoDetect AB,Unknown,STO
,SPAGO.ST,,Spago Nanomedical AB,Unknown,STO
,TOURN.ST,,Tourn International AB,Unknown,STO
,WNT.ST,,WntResearch AB,Unknown,STO
,EXALT.ST,,Exalt AB,Unknown,STO
,ONCO.ST,,Oncopeptides AB,Unknown,STO
,INIT.ST,,Initiator Pharma A/S,Unknown,STO
,CARE.ST,,Careium AB,Unknown,STO
,EATG.ST,,EatGood Sweden AB,Unknown,STO
,MIPS.ST,,Mips AB,Unknown,STO
,UNIBAP.ST,,Unibap AB,Unknown,STO
,PRLD.ST,,"PRLD.ST,0P0001A2BV,4129895",Unknown,STO
,IVACC.ST,,Intervacc AB,Unknown,STO
,SONE.ST,,Sonetel AB,Unknown,STO
,TANGI.ST,,Tangiamo Touch Technology AB,Unknown,STO
,ANNX.ST,,Annexin Pharmaceuticals AB,Unknown,STO
,ACUC.ST,,AcuCort AB,Unknown,STO
,XMR.ST,,XMReality AB,Unknown,STO
,RENT.ST,,"RENT.ST,0P0001AE1G,0",Unknown,STO
,BUSER.ST,,Bambuser AB,Unknown,STO
,MANTEX.ST,,Mantex AB,Unknown,STO
,INSTAL.ST,,Instalco AB,Unknown,STO
,MTRS.ST,,Munters Group AB,Unknown,STO
,ENERS.ST,,Enersize Oyj,Unknown,STO
,NITRO.ST,,Nitro Games Oyj,Unknown,STO
,QUART.ST,,Quartiers Properties AB,Unknown,STO
,ZAPLOX.ST,,Zaplox AB,Unknown,STO
,PAX.ST,,Paxman AB,Unknown,STO
,REALFI.ST,,Realfiction Holding AB,Unknown,STO
,ENRAD.ST,,Enrad AB,Unknown,STO
,NXTCL.ST,,NextCell Pharma AB,Unknown,STO
,SENZA.ST,,SenzaGen AB,Unknown,STO
,ISAB.ST,,Inhalation Sciences Sweden AB,Unknown,STO
,QIIWI.ST,,Qiiwi Games AB,Unknown,STO
,LOGIST.ST,,Logistri Fastighets AB,Unknown,STO
,BIBB.ST,,BibbInstruments AB,Unknown,STO
,2CUREX.ST,,2cureX AB,Unknown,STO
,AWRD.ST,,Awardit AB,Unknown,STO
,TSEC.ST,,Tempest Security AB,Unknown,STO
,ACCON.ST,,Acconeer AB,Unknown,STO
,SCOUT.ST,,Scout Gaming Group AB,Unknown,STO
,BIOWKS.ST,,Bio-Works Technologies AB,Unknown,STO
,FLEXQ.ST,,FlexQube AB,Unknown,STO
,LEMSE.ST,,Leading Edge Materials Corp.,Unknown,STO
,ICO.ST,,Iconovo AB,Unknown,STO
,JDT.ST,,JonDeTech Sensors AB,Unknown,STO
,ITECH.ST,,I-Tech AB,Unknown,STO
,NCAB.ST,,NCAB Group AB,Unknown,STO
,FLEXM.ST,,Flexion Mobile Plc,Unknown,STO
,RAKE.ST,,Raketech Group Holding plc,Unknown,STO
,RPLAN.ST,,Ranplan Group AB,Unknown,STO
,TOUCH.ST,,Touchtech AB,Unknown,STO
,NIO.ST,,Nordic Iron Ore AB,Unknown,STO
,247.ST,,24SevenOffice Group AB,Unknown,STO
,AXOLOT.ST,,Axolot Solutions Holding AB,Unknown,STO
,ALZCUR.ST,,AlzeCure Pharma AB,Unknown,STO
,INCOAX.ST,,InCoax Networks AB,Unknown,STO
,FERRO.ST,,Ferroamp AB,Unknown,STO
,TEQ.ST,,Teqnion AB,Unknown,STO
,ZICC.ST,,Ziccum AB,Unknown,STO
,RISK.ST,,RISK.ST,Unknown,STO
,UPSALE.ST,,Upsales Technology AB,Unknown,STO
,OSSD.ST,,OssDsign AB,Unknown,STO
,NHCBHFFS.ST,,Baltic Horizon Fund,Unknown,STO
,QBIT.ST,,"QBIT.ST,0P0001I073,220237",Unknown,STO
,ATANA.ST,,"ATANA.ST,0P0001CSYW,472453",Unknown,STO
,SMOL.ST,,Smoltek Nanotech Holding AB,Unknown,STO
,MNTC.ST,,Mentice AB,Unknown,STO
,LIPI.ST,,Lipidor AB,Unknown,STO
