Tickersymbol,YahooTicker,YahooExchange,CompanyName,size_category,Exchange
PION B,PION-B.ST,Stockholm Stock Exchange,Yahoo Finance,Small Cap,
PREC,PREC,US Markets (default),Yahoo Finance,Small Cap,
PREV B,PREV-B.ST,Stockholm Stock Exchange,Yahoo Finance,Small Cap,
PROF B,PROF-B.ST,Stockholm Stock Exchange,Yahoo Finance,Small Cap,
PENG B,PENG-B.ST,Stockholm Stock Exchange,Yahoo Finance,Small Cap,
QLINEA,QLINEA.ST,Stockholm Stock Exchange,Yahoo Finance,Small Cap,
QLIRO,QLIRO.ST,Stockholm Stock Exchange,Yahoo Finance,Small Cap,
RAIL,RAIL,US Markets (default),Yahoo Finance,Small Cap,
SANION,SANION.ST,Stockholm Stock Exchange,Yahoo Finance,Small Cap,
SEAF,SEAF.ST,Stockholm Stock Exchange,Yahoo Finance,Small Cap,
SGG,SGG,US Markets (default),Yahoo Finance,Small Cap,
SEZI,SEZI.ST,Stockholm Stock Exchange,Yahoo Finance,Small Cap,
SINT,SINT,US Markets (default),Yahoo Finance,Small Cap,
SIVE,SIVE.ST,Stockholm Stock Exchange,Yahoo Finance,Small Cap,
SLEEP,SLEEP.ST,Stockholm Stock Exchange,Yahoo Finance,Small Cap,
SOF B,SOF-B.ST,Stockholm Stock Exchange,Yahoo Finance,Small Cap,
SFAB,SFAB.ST,Stockholm Stock Exchange,Yahoo Finance,Small Cap,
STAR A,STAR-A.ST,Stockholm Stock Exchange,Yahoo Finance,Small Cap,
STAR B,STAR-B.ST,Stockholm Stock Exchange,Yahoo Finance,Small Cap,
STWK,STWK,US Markets (default),Yahoo Finance,Small Cap,
SVIK,SVIK.ST,Stockholm Stock Exchange,Yahoo Finance,Small Cap,
SVED B,SVED-B.ST,Stockholm Stock Exchange,Yahoo Finance,Small Cap,
SYNACT,SYNACT.ST,Stockholm Stock Exchange,Yahoo Finance,Small Cap,
TOBII,TOBII.ST,Stockholm Stock Exchange,Yahoo Finance,Small Cap,
TRAD,TRAD,US Markets (default),Yahoo Finance,Small Cap,
TRANS,TRANS.ST,Stockholm Stock Exchange,Yahoo Finance,Small Cap,
VICO,VICO.ST,Stockholm Stock Exchange,Yahoo Finance,Small Cap,
VIVE,VIVE,US Markets (default),Yahoo Finance,Small Cap,
WTW A,WTW-A.ST,Stockholm Stock Exchange,Yahoo Finance,Small Cap,
WISE,WISE,US Markets (default),Yahoo Finance,Small Cap,
WBGR B,WBGR-B.ST,Stockholm Stock Exchange,Yahoo Finance,Small Cap,
XBRANE,XBRANE.ST,Stockholm Stock Exchange,Yahoo Finance,Small Cap,
XSPRAY,XSPRAY.ST,Stockholm Stock Exchange,Yahoo Finance,Small Cap,
ACAD,ACAD,US Markets (default),Yahoo Finance,Mid Cap,
AOI,AOI,US Markets (default),Yahoo Finance,Mid Cap,
ALIG,ALIG.ST,Stockholm Stock Exchange,Yahoo Finance,Mid Cap,
ALLIGO B,ALLIGO-B.ST,Stockholm Stock Exchange,Yahoo Finance,Mid Cap,
AMBEA,AMBEA.ST,Stockholm Stock Exchange,Yahoo Finance,Mid Cap,
APOTEA,APOTEA.ST,Stockholm Stock Exchange,Yahoo Finance,Mid Cap,
AQ,AQ.ST,Stockholm Stock Exchange,Yahoo Finance,Mid Cap,
ARP,ARP,US Markets (default),Yahoo Finance,Mid Cap,
ARISE,ARISE.ST,Stockholm Stock Exchange,Yahoo Finance,Mid Cap,
ARJO B,ARJO-B.ST,Stockholm Stock Exchange,Yahoo Finance,Mid Cap,
ATT,ATT,US Markets (default),Yahoo Finance,Mid Cap,
BACTI B,BACTI-B.ST,Stockholm Stock Exchange,Yahoo Finance,Mid Cap,
BEIA B,BEIA-B.ST,Stockholm Stock Exchange,Yahoo Finance,Mid Cap,
BERG B,BERG-B.ST,Stockholm Stock Exchange,Yahoo Finance,Mid Cap,
BHG,BHG.ST,Stockholm Stock Exchange,Yahoo Finance,Mid Cap,
BICO,BICO,US Markets (default),Yahoo Finance,Mid Cap,
BIOG B,BIOG-B.ST,Stockholm Stock Exchange,Yahoo Finance,Mid Cap,
BINV,BINV,US Markets (default),Yahoo Finance,Mid Cap,
BONAV A,BONAV-A.ST,Stockholm Stock Exchange,Yahoo Finance,Mid Cap,
BONAV B,BONAV-B.ST,Stockholm Stock Exchange,Yahoo Finance,Mid Cap,
BOOZT,BOOZT.ST,Stockholm Stock Exchange,Yahoo Finance,Mid Cap,
BRIN B,BRIN-B.ST,Stockholm Stock Exchange,Yahoo Finance,Mid Cap,
BTS B,BTS-B.ST,Stockholm Stock Exchange,Yahoo Finance,Mid Cap,
BUFAB,BUFAB.ST,Stockholm Stock Exchange,Yahoo Finance,Mid Cap,
BMAX,BMAX,US Markets (default),Yahoo Finance,Mid Cap,
AJA B,AJA-B.ST,Stockholm Stock Exchange,Yahoo Finance,Mid Cap,
CAT A,CAT-A.ST,Stockholm Stock Exchange,Yahoo Finance,Mid Cap,
CAT B,CAT-B.ST,Stockholm Stock Exchange,Yahoo Finance,Mid Cap,
CCC,CCC.ST,Stockholm Stock Exchange,Yahoo Finance,Mid Cap,
CEVI,CEVI.ST,Stockholm Stock Exchange,Yahoo Finance,Mid Cap,
CIBUS,CIBUS.ST,Stockholm Stock Exchange,Yahoo Finance,Mid Cap,
CINPHA,CINPHA.ST,Stockholm Stock Exchange,Yahoo Finance,Mid Cap,
CINT,CINT,US Markets (default),Yahoo Finance,Mid Cap,
CLAS B,CLAS-B.ST,Stockholm Stock Exchange,Yahoo Finance,Mid Cap,
CLA B,CLA-B.ST,Stockholm Stock Exchange,Yahoo Finance,Mid Cap,
CS,CS.ST,Stockholm Stock Exchange,Yahoo Finance,Mid Cap,
COOR,COOR.ST,Stockholm Stock Exchange,Yahoo Finance,Mid Cap,
CRED A,CRED-A.ST,Stockholm Stock Exchange,Yahoo Finance,Mid Cap,
CTT,CTT.ST,Stockholm Stock Exchange,Yahoo Finance,Mid Cap,
DIOS,DIOS.ST,Stockholm Stock Exchange,Yahoo Finance,Mid Cap,
DUNI,DUNI.ST,Stockholm Stock Exchange,Yahoo Finance,Mid Cap,
DUST,DUST,US Markets (default),Yahoo Finance,Mid Cap,
DYVOX,DYVOX.ST,Stockholm Stock Exchange,Yahoo Finance,Mid Cap,
EAST,EAST.ST,Stockholm Stock Exchange,Yahoo Finance,Mid Cap,
ELAN B,ELAN-B.ST,Stockholm Stock Exchange,Yahoo Finance,Mid Cap,
EMIL B,EMIL-B.ST,Stockholm Stock Exchange,Yahoo Finance,Mid Cap,
EMIL PREF,EMIL-PREF.ST,Stockholm Stock Exchange,Yahoo Finance,Mid Cap,
ENEA,ENEA.ST,Stockholm Stock Exchange,Yahoo Finance,Mid Cap,
EOLU B,EOLU-B.ST,Stockholm Stock Exchange,Yahoo Finance,Mid Cap,
EPEN,EPEN,US Markets (default),Yahoo Finance,Mid Cap,
EWRK,EWRK.ST,Stockholm Stock Exchange,Yahoo Finance,Mid Cap,
FAG,FAG.ST,Stockholm Stock Exchange,Yahoo Finance,Mid Cap,
FG,FG,US Markets (default),Yahoo Finance,Mid Cap,
FLERIE,FLERIE.ST,Stockholm Stock Exchange,Yahoo Finance,Mid Cap,
FMM B,FMM-B.ST,Stockholm Stock Exchange,Yahoo Finance,Mid Cap,
GPG,GPG.ST,Stockholm Stock Exchange,Yahoo Finance,Mid Cap,
G2M,G2M.ST,Stockholm Stock Exchange,Yahoo Finance,Mid Cap,
GREEN,GREEN.ST,Stockholm Stock Exchange,Yahoo Finance,Mid Cap,
HNSA,HNSA.ST,Stockholm Stock Exchange,Yahoo Finance,Mid Cap,
HANZA,HANZA.ST,Stockholm Stock Exchange,Yahoo Finance,Mid Cap,
HEBA B,HEBA-B.ST,Stockholm Stock Exchange,Yahoo Finance,Mid Cap,
HTRO,HTRO.ST,Stockholm Stock Exchange,Yahoo Finance,Mid Cap,
HOFI,HOFI.ST,Stockholm Stock Exchange,Yahoo Finance,Mid Cap,
HUM,HUM,US Markets (default),Yahoo Finance,Mid Cap,
HUMBLE,HUMBLE.ST,Stockholm Stock Exchange,Yahoo Finance,Mid Cap,
IAR B,IAR-B.ST,Stockholm Stock Exchange,Yahoo Finance,Mid Cap,
